"","old_code","old_scientificName","old_UpdateStatus","Alternative.scientific.name","new_code","new_UpdateStatus"
"93","5924","Abramis bjoerkna","Deletion","Blicca bjoerkna","not found in Natura2000 List","not available"
"94","6117","Acanthodactylus erythrurus belli","Deletion","Acanthodactylus erythrurus","not found in Natura2000 List","not available"
"95","6313","Aconitum napellus subsp. corsicum","Deletion","Aconitum corsicum","1475","Remains"
"96","6170","Actias isabellae","Deletion","Graellsia isabelae","not found in Natura2000 List","not available"
"97","6170","Actias isabellae","Deletion","Graellsia isabellae","1075","Remains"
"98","6140","Agama stellio","Deletion","Stellio stellio","not found in Natura2000 List","not available"
"99","6140","Agama stellio","Deletion","Laudakia stellio","6139","Remains"
"100","2500","Alburnoides bipunctatus","Deletion","Alburnoides bipunctatus thessalicus","not found in Natura2000 List","not available"
"101","6120","Alburnoides bipunctatus thessalicus","Deletion","Alburnoides bipunctatus","not found in Natura2000 List","not available"
"102","5539","Alburnus alburnus","Deletion","Alburnus alburnus alborella","not found in Natura2000 List","not available"
"103","5982","Alburnus alburnus alborella","Deletion","Alburnus alburnus","not found in Natura2000 List","not available"
"104","5983","Alburnus alburnus macedonicus","Deletion","Alburnus macedonicus","not found in Natura2000 List","not available"
"105","5540","Alburnus macedonicus","Deletion","Alburnus alburnus macedonicus","not found in Natura2000 List","not available"
"106","6249","Alburnus vulturius","Deletion","Alburnus albidus","1120","Remains"
"107","1989","Alosa caspia vistonica","Deletion","Alosa vistonica","5048","Remains"
"108","1508","Alyssum pyrenaicum","Deletion","Hormathophylla pyrenaica","6998","Addition"
"109","5937","Ameiurus melas","Deletion","Ictalurus melas","not found in Natura2000 List","not available"
"110","5938","Ameiurus nebulosus","Deletion","Ictalurus nebulosus","not found in Natura2000 List","not available"
"111","6302","Anacamptis pyramidalis","Deletion","Anacamptis urvilleana","4102","Remains"
"112","6266","Androcymbium gramineum gramineum","Deletion","Androcymbium europaeum","1844","Remains"
"113","6186","Anemone slavica","Deletion","Pulsatilla halleri subsp. slavica","not found in Natura2000 List","not available"
"114","6186","Anemone slavica","Deletion","Pulsatilla slavica","2094","Remains"
"115","2432","Anguis fragilis","Deletion","Anguis fragilis fragilis","not found in Natura2000 List","not available"
"116","6116","Anguis fragilis fragilis","Deletion","Anguis fragilis","not found in Natura2000 List","not available"
"117","6203","Anthyllis vulneraria subsp. lusitanica","Deletion","Anthyllis lusitanica","1554","Remains"
"118","5920","Apristurus laurussonii","Deletion","Apristurus maderensis","not found in Natura2000 List","not available"
"119","6032","Apristurus maderensis","Deletion","Apristurus laurussonii","not found in Natura2000 List","not available"
"120","6259","Archaeolacerta mosorensis","Deletion","Lacerta mosorensis","not found in Natura2000 List","not available"
"121","6259","Archaeolacerta mosorensis","Deletion","Dinarolacerta mosorensis","6342","Remains"
"122","6258","Archaeolacerta oxycephala","Deletion","Lacerta oxycephala","not found in Natura2000 List","not available"
"123","6258","Archaeolacerta oxycephala","Deletion","Dalmatolacerta oxycephala","6341","Remains"
"124","6204","Armeria littoralis","Deletion","Armeria neglecta","not found in Natura2000 List","not available"
"125","1637","Armeria neglecta","Deletion","Armeria littoralis","not found in Natura2000 List","not available"
"126","5559","Arvicola amphibius","Deletion","Arvicola terrestris","not found in Natura2000 List","not available"
"127","5966","Arvicola terrestris","Deletion","Arvicola amphibius","not found in Natura2000 List","not available"
"128","1757","Aster sorrentinii","Deletion","Tripolium sorrentinoi","6994","Addition"
"129","1557","Astragalus centralpinus","Deletion","Astragalus alopecurus","6269","Remains"
"130","2650","Atelerix algirus","Deletion","Erinaceus algirus","5978","Remains"
"131","6033","Auxis rochei","Deletion","Auxis rochei rochei","not found in Natura2000 List","not available"
"132","5921","Auxis rochei rochei","Deletion","Auxis rochei","not found in Natura2000 List","not available"
"133","5932","Awaous commersoni","Deletion","Gobius niger","not found in Natura2000 List","not available"
