"","old_code","old_scientificName","old_UpdateStatus","ScientificNameAuthorCoL","TaxonomicStatus","new_canonicalName","new_authorship","new_code","new_scientificName","new_UpdateStatus","ruleApplied","new_classification"
"753","5941","Leucaspius delineatus","Deletion","Leucaspius delineatus (Heckel, 1843)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"754","6054","Leuciscus aradensis","Deletion","Squalius aradensis (Coelho, Bogutskaya, Rodrigues & Collares-Pereira, 1998)","Synonym","not available","not available","not found in Natura2000 List","not available","not available","Synonym - not available","not available"
"755","6004","Leuciscus borysthenicus","Deletion","Petroleuciscus borysthenicus (Kessler, 1859)","Synonym","not available","not available","not found in Natura2000 List","not available","not available","Synonym - not available","not available"
"756","6055","Leuciscus carolitertii","Deletion","Squalius carolitertii (Doadrio, 1988)","Synonym","not available","not available","not found in Natura2000 List","not available","not available","Synonym - not available","not available"
"757","6056","Leuciscus cephalus","Deletion","Squalius cephalus (Linnaeus, 1758)","Synonym","not available","not available","not found in Natura2000 List","not available","not available","Synonym - not available","not available"
"758","6019","Leuciscus cephalus pyrenaicus","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"759","6057","Leuciscus cephalus vardarensis","Deletion","Squalius vardarensis Karaman, 1928","Synonym","not available","not available","not found in Natura2000 List","not available","not available","Synonym - not available","not available"
"760","5696","Leuciscus idus","Deletion","Leuciscus idus (Linnaeus, 1758)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"761","6193","Leuciscus keadicus","Deletion","Squalius keadicus (Stephanidis, 1971)","Synonym","Squalius keadicus","Stephanidis, 1971","5332","Squalius keadicus","Remains","Synonym - Remains","SPECIES:Squalius keadicus (Stephanidis, 1971)|GENUS:Squalius|FAMILY:Cyprinidae|ORDER:Cypriniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"762","5697","Leuciscus leuciscus","Deletion","Leuciscus leuciscus (Linnaeus, 1758)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"763","1132","Leuciscus lucumonis","Deletion","Squalius lucumonis (Bianco, 1983)","Synonym","Squalius lucumonis","Bianco, 1983","6148","Squalius lucumonis","Remains","Synonym - Remains","SPECIES:Squalius lucumonis (Bianco, 1983)|GENUS:Squalius|FAMILY:Cyprinidae|ORDER:Cypriniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"764","6192","Leuciscus muticellus","Deletion","Telestes souffia (Risso, 1827)","Misapplied","Telestes souffia","()","6147","Telestes souffia","Remains","Misapplied - Remains","SPECIES:Telestes souffia (Risso, 1827)|GENUS:Telestes|FAMILY:Cyprinidae|ORDER:Cypriniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"765","5099","Leuciscus pleurobipunctatus","Deletion","Telestes pleurobipunctatus (Stephanidis, 1939)","Synonym","Telestes pleurobipunctatus","(Stephanidis, 1939)","5334","Telestes pleurobipunctatus","Remains","Synonym - Remains","SPECIES:Telestes pleurobipunctatus (Stephanidis, 1939)|GENUS:Telestes|FAMILY:Cyprinidae|ORDER:Cypriniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"766","6020","Leuciscus pyrenaicus","Deletion","Squalius pyrenaicus (Günther, 1868)","Synonym","not available","not available","not found in Natura2000 List","not available","not available","Synonym - not available","not available"
